"","LAW.D","REGISTER.D","REG_OVER.D","CODE.D","DEF_LOB.D","DEF_LOB_ACT.D","TARGET.D","COOLING.D","DECL.D","MEETING.D","SANCTION_LIM.D","SANCTION_TRI.D","DISTANCE2019.D","JUD_Z.D","ADM_Z.D","TRADE_Z.D","BUDGET_Z.D","E_CIT_Z.D","PRESS_Z.D","CPI_Z.D","MEAN_CPI_Z.D","TRUST_Z.D","MEAN_TRUST_Z.D"
"AUT",1,1,0.81,0.81,0.32,0.63,1,0,0.33,0,1,0.57,1,0.98,0.13,0.98,0.4,0.36,0.95,0.96,0.96,0.74,0.64
"BEL",0,1,0.81,1,1,0.77,0.4,0,0,0,0,0,0,0.99,0.87,0.98,0.13,0.86,1,0.94,0.95,0.3,0.41
"CHE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53,0.86,0.81,0.89,1,0.99,1,0.99,0.99
"DEU",0,0.81,0.81,0,0,0.63,1,0,0,0,0,0,0,0.87,0.13,0.14,1,0.58,1,0.98,0.99,0.85,0.89
"DNK",0,0,0,0.81,0,0,0,0,0,1,0,0,0,1,0.9,0.98,0.99,0.99,1,1,1,0.93,0.91
"ESP",0,0.81,1,0.81,0,0,0,0.91,0,0,0,0,0,0.36,0.4,0.98,0.96,0.42,0.14,0.53,0.37,0.38,0.19
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1,0.98,0.81,0.52,1,0.93,0.91,0.46,0.42
"FIN",0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0,1,0.97,0.43,1,0.54,1,0.99,1,0.93,0.89
"FRA",1,1,1,1,0.92,0.89,1,1,0.77,0,0,1,0.81,0.81,0.91,0.98,0.93,0.86,0.36,0.83,0.85,0.41,0.34
"GBR",1,1,1,0.81,0.45,0.89,0.81,0.91,0.64,1,0,0.57,1,0.92,0.98,0.41,0.98,0.98,0.53,0.96,0.98,0.33,0.4
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.84,0.38,0.08,0.29,0,0.1,0.1,0.45,0.1
"HUN",0,0,0,0,0.92,0,0.81,0.91,0,1,0,0,0,0.05,0.33,0.98,0.55,0.46,0,0.06,0.08,0.67,0.44
"IRL",1,1,1,1,0.77,1,1,0.82,0.85,1,0,1,1,0.98,0.98,0,0.4,0.51,1,0.93,0.93,0.87,0.89
"ITA",0,1,0.81,0.81,0.55,0.89,0.4,0,0.66,0,1,0,0,0.29,0.16,0.98,0.98,0.18,0.03,0.19,0.17,0.15,0.09
"LTU",1,1,1,1,1,0.89,1,0.82,0.91,0,1,0,0.81,0.38,0.97,0.96,0.02,0.32,0.98,0.44,0.39,0.47,0.27
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46,0.98,0.81,0.91,1,0.98,0.99,0.99,0.99
"LVA",0,0,0,0.81,1,0.63,0.81,0,0,1,0,0,0,0.18,0.95,0.81,0.81,0.21,0.36,0.28,0.31,0.17,0.11
"NLD",0,0.81,0.57,0.81,0.77,0,0.4,0,0,0,0.57,0,0,1,0.97,0.98,0.84,0.96,1,0.99,0.99,0.91,0.94
"NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0.82,1,0.99,1,0.99,0.99,0.89,0.95
"POL",1,1,0.81,0.81,1,0.63,1,0,0,1,0,0.57,1,0.03,0.09,0.98,0.55,0.1,0,0.35,0.39,0.7,0.63
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.51,0.98,0.55,0.46,1,0.53,0.54,0.55,0.66
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0.98,0.99,0.43,0.36,0.13,0.14,0.16,0.18
"SVN",1,1,0.81,0.81,1,0.63,1,0.91,0.84,0,1,0.57,1,0.12,0.91,0.98,0.99,0.26,0.87,0.44,0.43,0.45,0.17
"SWE",0,0,0,0.81,0,0,0,0.82,0,0,0,0,0,0.98,0.97,0.97,0.41,0.94,1,0.99,1,0.74,0.76
