"","LAW.I","REGISTER.I","REG_OVER.I","CODE.I","DEF_LOB.I","DEF_LOB_ACT.I","TARGET.I","COOLING.I","DECL.I","MEETING.I","SANCTION_LIM.I","SANCTION_TRI.I","DISTANCE2019.I","JUD_Z.I","ADM_Z.I","TRADE_Z.I","BUDGET_Z.I","E_CIT_Z.I","PRESS_Z.I","CPI_Z.I","MEAN_CPI_Z.I","TRUST_Z.I","MEAN_TRUST_Z.I"
"AUT",1,1,0.81,0.81,0.01,0.16,1,0,0.01,0,1,0.11,1,0.98,0,0.98,0.03,0.02,0.95,0.96,0.96,0.74,0.17
"BEL",0,1,0.81,1,1,0.77,0.03,0,0,0,0,0,0,0.99,0.87,0.98,0,0.86,1,0.94,0.95,0.01,0.03
"CHE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0.86,0.81,0.89,1,0.99,1,0.99,0.99
"DEU",0,0.81,0.81,0,0,0.16,1,0,0,0,0,0,0,0.87,0,0,1,0.11,1,0.98,0.99,0.85,0.89
"DNK",0,0,0,0.81,0,0,0,0,0,1,0,0,0,1,0.9,0.98,0.99,0.99,1,1,1,0.93,0.91
"ESP",0,0.81,1,0.81,0,0,0,0.91,0,0,0,0,0,0.02,0.03,0.98,0.96,0.03,0,0.08,0.02,0.02,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1,0.98,0.81,0.07,1,0.93,0.91,0.05,0.03
"FIN",0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,0,1,0.97,0.04,1,0.09,1,0.99,1,0.93,0.89
"FRA",1,1,1,1,0.92,0.89,1,1,0.77,0,0,1,0.81,0.81,0.91,0.98,0.93,0.86,0.02,0.83,0.85,0.03,0.01
"GBR",1,1,1,0.81,0.04,0.89,0.81,0.91,0.17,1,0,0.11,1,0.92,0.98,0.03,0.98,0.98,0.08,0.96,0.98,0.01,0.02
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.02,0,0.01,0,0,0,0.04,0
"HUN",0,0,0,0,0.92,0,0.81,0.91,0,1,0,0,0,0,0.01,0.98,0.09,0.04,0,0,0,0.2,0.04
"IRL",1,1,1,1,0.77,1,1,0.82,0.85,1,0,1,1,0.98,0.98,0,0.03,0.07,1,0.93,0.93,0.87,0.89
"ITA",0,1,0.81,0.81,0.09,0.89,0.03,0,0.19,0,1,0,0,0.01,0,0.98,0.98,0,0,0,0,0,0
"LTU",1,1,1,1,1,0.89,1,0.82,0.91,0,1,0,0.81,0.02,0.97,0.96,0,0.01,0.98,0.04,0.02,0.05,0.01
"LUX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.98,0.81,0.91,1,0.98,0.99,0.99,0.99
"LVA",0,0,0,0.81,1,0.16,0.81,0,0,1,0,0,0,0,0.95,0.81,0.81,0,0.02,0.01,0.01,0,0
"NLD",0,0.81,0.11,0.81,0.77,0,0.03,0,0,0,0.11,0,0,1,0.97,0.98,0.84,0.96,1,0.99,0.99,0.91,0.94
"NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0.82,1,0.99,1,0.99,0.99,0.89,0.95
"POL",1,1,0.81,0.81,1,0.16,1,0,0,1,0,0.11,1,0,0,0.98,0.09,0,0,0.02,0.02,0.24,0.16
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.07,0.98,0.09,0.04,1,0.08,0.09,0.09,0.19
"SVK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.99,0.04,0.02,0,0,0,0
"SVN",1,1,0.81,0.81,1,0.16,1,0.91,0.84,0,1,0.11,1,0,0.91,0.98,0.99,0,0.87,0.04,0.03,0.04,0
"SWE",0,0,0,0.81,0,0,0,0.82,0,0,0,0,0,0.98,0.97,0.97,0.03,0.94,1,0.99,1,0.74,0.76
