"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TRUSTGOV","TOT","PC","A","2016",43.2638218460391,
"AUT","TRUSTGOV","TOT","PC","A","2017",43.5907940906151,
"AUT","TRUSTGOV","TOT","PC","A","2018",48.8678724760577,
"AUT","TRUSTGOV","TOT","PC","A","2019",51.2338260131346,
"AUT","TRUSTGOV","TOT","PC","A","2020",62.6177826842198,
"BEL","TRUSTGOV","TOT","PC","A","2016",41.917750565944,
"BEL","TRUSTGOV","TOT","PC","A","2017",44.9731910860775,
"BEL","TRUSTGOV","TOT","PC","A","2018",44.1944530799294,
"BEL","TRUSTGOV","TOT","PC","A","2019",32.7901154348457,
"BEL","TRUSTGOV","TOT","PC","A","2020",29.4799600657363,
"CZE","TRUSTGOV","TOT","PC","A","2016",41.5120712288846,
"CZE","TRUSTGOV","TOT","PC","A","2017",34.3870808017862,
"CZE","TRUSTGOV","TOT","PC","A","2018",42.07833057775,
"CZE","TRUSTGOV","TOT","PC","A","2020",31.8858991214926,
"DNK","TRUSTGOV","TOT","PC","A","2016",46.7660707808524,
"DNK","TRUSTGOV","TOT","PC","A","2017",57.2353315512816,
"DNK","TRUSTGOV","TOT","PC","A","2018",63.2478459186145,
"DNK","TRUSTGOV","TOT","PC","A","2019",63.2999031726247,
"DNK","TRUSTGOV","TOT","PC","A","2020",71.5797588737729,
"FIN","TRUSTGOV","TOT","PC","A","2016",48.5727259093159,
"FIN","TRUSTGOV","TOT","PC","A","2017",59.7538583335695,
"FIN","TRUSTGOV","TOT","PC","A","2018",55.5102212646279,
"FIN","TRUSTGOV","TOT","PC","A","2019",63.9188147034124,
"FIN","TRUSTGOV","TOT","PC","A","2020",80.863288011065,
"FRA","TRUSTGOV","TOT","PC","A","2016",28.3978157607008,
"FRA","TRUSTGOV","TOT","PC","A","2017",37.4793527389085,
"FRA","TRUSTGOV","TOT","PC","A","2018",38.0547431018663,
"FRA","TRUSTGOV","TOT","PC","A","2019",38.1849235823193,
"FRA","TRUSTGOV","TOT","PC","A","2020",41.0406651012307,
"DEU","TRUSTGOV","TOT","PC","A","2016",55.2613565971883,
